,Bulgaria,Sweden,CN: Liaoning  Province,CN: Heilongjiang  Province,CN: Shanxi Province,CN: Shaannxi  Province,CN: Hebei Province,CN: Beijing,CN: Jiangsu  Province,CN: Fujian  Province,CN: Shandong  Province,CN: Zhejiang  Province,CN: Shanghai,CN: Guangdong  Province,CN: Hunan  Province,CN: Hubei  Province,CN: Henan  Province,CN: Jiangxi  Province,CN: Anhui  Province,CN: Guizhou Province,CN: Guangxi  Province,Cyprus,Finland,Italy,Poland,Romania,Slovenia,Great Britain,France,Germany,IN: Assam,IN: Karnataka,IN: Punjab,IN: Kerala,IN: Orrisa,IN: Andhra Pradesh,IN: Bihar,IN: Gujarat,IN: Madhya Pradesh,IN: Maharashtra,IN: Rajasthan,IN: Tamil Nadu,IN: Uttar Pradesh,IN: West Bengal,Netherlands,Spain,US: West North Central,US: East South Central,US: South Atlantic,US: Middle Atlantic States,US: East North Central,US: New England,US: West South Central,US: Rocky Mountain state,US: California,Hungary,US: Pacific,Estonia,CN: Gansu
CN: Guangxi  Province,0.127879879,0.369243235,0.032312821,0.027956006,0.033174739,0.043443805,0.057367748,0.052345647,0.039943833,0.0564419,0.032294161,0.055183685,0.058124483,0.026595149,0.03665407,0.034123905,0.021926702,0.037815301,0.049746355,0.038105299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,0.075259308,0.129316967,0.233240226,0.254842857,0.242881669,0.313478303,0.296444445,0.250935236,0.25578398,0.19428032,0.184392173,0.241918675,0.35847369,0.181824083,0.258554497,0.232388632,0.244523119,0.349830598,0.358997306,0.294933296,0.201336107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,0.128554812,0.060350402,0.188794011,0.212593936,0.196924626,0.245849899,0.270475934,0.192319809,0.235940259,0.246239411,0.156631753,0.235511642,0.253390012,0.183258094,0.234758355,0.196362921,0.195056792,0.269403307,0.282502458,0.23438958,0.194542252,0.081292132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,0.087449692,0.132475535,0.182665818,0.209401658,0.213838554,0.267119874,0.284202244,0.220233017,0.245897266,0.210423654,0.162554232,0.198588369,0.266624686,0.15998749,0.260195458,0.212101622,0.197155198,0.261155482,0.281539038,0.244462549,0.18971319,0.038144699,0.06311053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,0.107116802,0.171716388,0.256671573,0.272008644,0.268964025,0.347914886,0.32878321,0.27298722,0.295988955,0.235892391,0.213483104,0.304459941,0.38975227,0.211920994,0.29573551,0.254510149,0.263079478,0.343644755,0.358099984,0.334305666,0.232222295,0.053091199,0.103364222,0.046171174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,0.103704997,0.25168232,0.373323402,0.391229317,0.399286289,0.502588869,0.469165028,0.405146171,0.408626554,0.308632896,0.318009669,0.420323266,0.559502952,0.288758218,0.403842857,0.374933116,0.373438314,0.45859622,0.475669916,0.439065232,0.321738424,0.075577983,0.198476063,0.102263181,0.056697755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovenia,0.087511027,0.095613123,0.201094118,0.219569253,0.222826189,0.258427864,0.309897512,0.187519744,0.235737904,0.217261322,0.179492111,0.188204498,0.282110461,0.168759337,0.25796541,0.210285539,0.208493387,0.257058634,0.300084992,0.270786539,0.189662129,0.072068682,0.078668899,0.055686482,0.075056239,0.124849149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Great Britain,0.100647923,0.076935401,0.174278649,0.175988323,0.172080577,0.214493182,0.227325102,0.161873847,0.209416994,0.219669993,0.141919707,0.193755943,0.226412086,0.14532995,0.184259297,0.173070961,0.170435113,0.242727284,0.242398124,0.218624161,0.185413783,0.061516193,0.037945078,0.055057276,0.092248526,0.184727851,0.054333578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,0.091215576,0.090282952,0.179248293,0.181433575,0.191172301,0.215491459,0.236967227,0.182042133,0.225506345,0.223738118,0.153744359,0.198251357,0.240646378,0.14335812,0.196783879,0.180631546,0.181695708,0.246133746,0.246540507,0.221036375,0.180481589,0.068208024,0.057214475,0.058817122,0.104825319,0.186028274,0.058943547,0.026660393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,0.135594814,0.075502308,0.208755984,0.238662553,0.249231065,0.282083208,0.336904468,0.249586265,0.25785892,0.262449483,0.217566061,0.238654935,0.305966449,0.18273824,0.270541137,0.251144299,0.236987383,0.276972009,0.318659143,0.261454059,0.211740309,0.081551612,0.067833445,0.070824379,0.110892646,0.141033903,0.076565748,0.068760173,0.081096828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
